"Region","Lat","Long","TotalCases","Average","SD"
"China/Shaanxi",35.1917,108.8701,2156027,1886.28783902012,2012.638783393
"China/Shandong",36.3427,118.1498,1976980,1729.64129483815,1441.03652096524
"China/Shanghai",31.202,121.4491,22452124,19643.1531058618,27980.795299399
"China/Shanxi",37.5777,112.2922,991489,867.444444444444,1786.84576167795
"China/Sichuan",30.6171,102.7103,2999203,2623.97462817148,3710.39891410715
"China/Tianjin",39.3054,117.323,1232414,1078.22747156605,1162.77011582553
"China/Tibet",31.6927,88.0924,291917,255.395450568679,559.607118606167
"China/Unknown",NA,NA,322612520,282250.673665792,473471.097570378
"China/Xinjiang",41.1129,85.2401,1197879,1048.01312335958,718.767554603656
"China/Yunnan",24.974,101.487,1930520,1688.99387576553,2315.4388033322
"China/Zhejiang",29.1832,120.0934,2897066,2534.61592300962,2473.57071935879
"Colombia/",4.5709,-74.2973,4214829115,3687514.53630796,2468816.42763019
"Comoros/",-11.6455,43.3333,5129203,4487.49168853893,3404.44131289583
"Congo (Brazzaville)/",-0.228,15.8277,16149296,14128.8678915136,9360.00499980462
"Congo (Kinshasa)/",-4.0383,21.7587,56799866,49693.6710411199,36145.9562813864
"Costa Rica/",9.7489,-83.7534,577119257,504916.235345582,420729.2188312
"Cote d'Ivoire/",7.54,-5.5471,58041099,50779.6141732283,31521.6248659811
"Croatia/",45.1,15.2,647706645,566672.480314961,492923.842460806
"Cuba/",21.521757,-77.781167,626193537,547850.86351706,505080.033974633
"Cyprus/",35.1264,33.4299,253807006,222053.373578303,243144.964222588
"Czechia/",49.8175,15.473,2439147631,2133987.42869641,1746443.9330877
"Denmark/Faroe Islands",61.8926,-6.9118,14695825,12857.239720035,15918.6349439937
"Denmark/Greenland",71.7069,-42.6043,5166134,4519.80227471566,5604.82964782925
"Denmark/",56.2639,9.5018,1441791253,1261409.67016623,1441329.40831216
"Diamond Princess/",0,0,796020,696.430446194226,98.2424278195592
"Djibouti/",11.8251,42.5903,11829935,10349.8993875766,5371.61373211684
"Dominica/",15.415,-61.371,6627068,5797.95975503062,6606.500148228
"Dominican Republic/",18.7357,-70.1627,399963958,349924.722659668,234579.777828024
"Ecuador/",-1.8312,-78.1834,584150381,511067.699912511,366151.412053711
